City_ID,City,Cloudiness,Country,Current Description,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
290,Bathsheba,75,BB,broken clouds,2022-02-10 02:38:16,73,13.2167,-59.5167,77.61,18.41
291,Coahuayana,0,MX,clear sky,2022-02-10 02:38:16,77,18.7333,-103.6833,67.41,2.86
292,Dabakala,0,CI,clear sky,2022-02-10 02:38:17,19,8.3667,-4.4333,74.08,3.98
293,Mabaruma,75,GY,broken clouds,2022-02-10 02:38:17,88,8.2,-59.7833,71.19,2.51
294,Peschanokopskoye,23,RU,few clouds,2022-02-10 02:38:18,87,46.1961,41.0775,30.49,7.31
295,Healdsburg,0,US,clear sky,2022-02-10 02:36:12,64,38.6105,-122.8692,65.44,3.44
296,Lavrentiya,34,RU,scattered clouds,2022-02-10 02:38:19,94,65.5833,-171.0,-25.51,8.05
297,Shieli,98,KZ,overcast clouds,2022-02-10 02:38:19,89,44.1667,66.75,30.96,5.03
298,Lozovik,0,RS,clear sky,2022-02-10 02:38:19,90,44.4677,21.1007,37.54,5.79
299,Ust-Karsk,100,RU,overcast clouds,2022-02-10 02:38:20,89,52.7011,118.8077,5.0,0.92
300,Etah,0,IN,clear sky,2022-02-10 02:38:20,79,27.6333,78.6667,53.53,4.63
301,Tiarei,19,PF,light rain,2022-02-10 02:38:21,76,-17.5333,-149.3333,84.22,14.76
302,Pouebo,100,NC,overcast clouds,2022-02-10 02:38:21,89,-20.4,164.5667,80.29,16.8
303,Florence,40,IT,scattered clouds,2022-02-10 02:33:29,90,43.7667,11.25,49.24,4.61
304,Beloha,6,MG,clear sky,2022-02-10 02:38:22,91,-25.1667,45.05,70.65,4.07
305,Port Hardy,75,CA,broken clouds,2022-02-10 02:34:44,93,50.6996,-127.4199,45.75,4.61
306,San Cristobal,97,VE,overcast clouds,2022-02-10 02:38:22,93,7.7669,-72.225,73.58,1.66
307,Vila Franca Do Campo,25,PT,scattered clouds,2022-02-10 02:38:23,80,37.7167,-25.4333,58.19,8.81
308,Kondopoga,100,RU,light snow,2022-02-10 02:38:23,95,62.2057,34.2614,29.88,7.56
309,Cap Malheureux,92,MU,overcast clouds,2022-02-10 02:38:24,77,-19.9842,57.6142,74.46,7.09
310,Poum,97,NC,overcast clouds,2022-02-10 02:38:24,87,-20.2333,164.0167,81.09,30.13
311,Novospasskoye,100,RU,snow,2022-02-10 02:38:25,96,53.1468,47.7514,24.91,9.15
312,Vilyuysk,85,RU,overcast clouds,2022-02-10 02:38:25,95,63.7553,121.6247,-28.46,1.92
313,Muli,70,MV,broken clouds,2022-02-10 02:37:53,75,2.9167,73.5667,81.07,9.06
314,Esperance,4,AU,clear sky,2022-02-10 02:38:26,51,-33.8667,121.9,78.64,11.14
315,Balikpapan,40,ID,light rain,2022-02-10 02:33:30,89,-1.2675,116.8289,79.79,4.61
316,Long Beach,0,US,clear sky,2022-02-10 02:38:00,25,33.767,-118.1892,79.68,4.61
