City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
564,Saint-Leu,RE,74.26,scattered clouds,-21.15,55.2833,La Caz Oceane
567,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Pousada Sitio Do Carmo
570,Samana,DO,72.79,clear sky,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
571,Bonthe,SL,75.92,clear sky,7.5264,-12.505,Bonthe Holiday Village
572,Iquitos,PE,73.44,moderate rain,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
573,Diapaga,BF,72.43,clear sky,12.0708,1.7889,
578,Sao Domingos,BR,70.47,overcast clouds,-13.3983,-46.3183,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
581,Tuy Hoa,VN,78.46,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
582,Vanimo,PG,84.27,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
590,Kieta,PG,84.45,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
591,Alice Town,BS,71.26,overcast clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
599,Ciawi,ID,71.55,overcast clouds,-7.5117,107.9767,Bokong Gambir
603,San Luis,AR,72.97,scattered clouds,-33.295,-66.3356,Huarpes Hotel
605,Jalingo,NG,72.0,broken clouds,8.8833,11.3667,Debright Motel
607,Antalaha,MG,74.64,light rain,-14.9003,50.2788,Hotel Vitasoa
608,Sao Raimundo Nonato,BR,76.24,scattered clouds,-9.0153,-42.6994,Real Hotel
609,Pemba,MZ,75.9,few clouds,-12.974,40.5178,Guesthouse Samotina
610,Isangel,VU,78.35,moderate rain,-19.55,169.2667,Tanna Lodge
615,Caraballeda,VE,77.07,few clouds,10.6112,-66.8522,Hotel 15 Letras
616,Coffs Harbour,AU,88.12,clear sky,-30.3,153.1333,Aquajet Motel
621,Ilebo,CD,70.21,broken clouds,-4.3167,20.5833,Hôtel BUMAK
625,Juazeirinho,BR,76.08,broken clouds,-6.8167,-38.05,Lar dos Batista Queiroga
626,Lujan,AR,73.15,clear sky,-34.5703,-59.105,Hotel Biarritz
629,Noumea,NC,84.18,light rain,-22.2763,166.4572,Hôtel Le Lagon
633,Cowra,AU,86.72,broken clouds,-33.8333,148.6833,Cowra Motor Inn
634,Pundaguitan,PH,81.19,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
638,Jaciara,BR,70.23,overcast clouds,-15.9653,-54.9683,Taba Hotel
639,Tecoanapa,MX,76.06,clear sky,16.5167,-98.75,Hotel Manglares
652,Limon,CR,76.33,clear sky,10.0,-83.0333,Hotel Playa Bonita
666,Atambua,ID,80.82,light rain,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
668,Pimentel,PE,71.49,overcast clouds,-6.8367,-79.9342,Casona Del Muelle
671,West Bay,KY,78.01,few clouds,19.3667,-81.4167,Calypso Cove
673,Bairiki,KI,86.0,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
